station_label,declared_rate,algorithm_id,mechanism_count,minimum_rmse,maximum_rmse,relative_range,normalized_score,status,caveats
full_grid,0.1,cubic_spline,3,5.1102164087063455,6.8778611993869445,0.25700501063297954,0.7429949893670205,available,
full_grid,0.1,galpi,3,5.142118901191546,7.222570611386364,0.28804864945383724,0.7119513505461628,available,
full_grid,0.1,linear_interpolation,3,5.111306278263098,7.18434813452542,0.2885497497399967,0.7114502502600033,available,
full_grid,0.1,nearest_interpolation,3,8.291341752605929,12.192266054746161,0.31995071995838664,0.6800492800416134,available,
full_grid,0.3,cubic_spline,3,6.247403923058919,7.738366710948038,0.1926715085471129,0.8073284914528871,available,
full_grid,0.3,galpi,3,6.724059691050151,8.92995216318462,0.24702175687218894,0.752978243127811,available,
full_grid,0.3,linear_interpolation,3,6.0708286958657265,8.176580221717273,0.25753450327052374,0.7424654967294763,available,
full_grid,0.3,nearest_interpolation,3,8.889930299927542,12.744925775530595,0.3024729640249758,0.6975270359750242,available,
full_grid,0.5,cubic_spline,3,8.157415849965568,19.31057077976623,0.5775673364086693,0.4224326635913307,available,
full_grid,0.5,galpi,3,9.920138221970115,16.74474016199321,0.40756690602541595,0.5924330939745841,available,
full_grid,0.5,linear_interpolation,3,7.695645172801678,13.224859952929771,0.41809250153179717,0.5819074984682029,available,
full_grid,0.5,nearest_interpolation,3,10.299357647049899,15.371716789253536,0.3299800023475423,0.6700199976524577,available,
