station_label,recipe_label,recipe_display_label,mechanism_family,declared_rate,algorithm_id,metric,mean,std,n,is_best,comparable
full_grid,mar_10,MAR 10%,mar,0.1,cubic_spline,rmse,5.39822654793421,0.223900034022531,5,True,True
full_grid,mar_10,MAR 10%,mar,0.1,galpi,rmse,5.484716001510892,0.23697112196279949,5,False,True
full_grid,mar_10,MAR 10%,mar,0.1,linear_interpolation,rmse,5.398859762528646,0.23635609564672228,5,False,True
full_grid,mar_10,MAR 10%,mar,0.1,nearest_interpolation,rmse,8.524158490453726,0.23130331993411068,5,False,True
full_grid,mar_30,MAR 30%,mar,0.3,cubic_spline,rmse,7.436326102559422,0.3524903812783832,5,False,True
full_grid,mar_30,MAR 30%,mar,0.3,galpi,rmse,8.859531965584022,0.334123727108863,5,False,True
full_grid,mar_30,MAR 30%,mar,0.3,linear_interpolation,rmse,7.142971838307252,0.3182267077268868,5,True,True
full_grid,mar_30,MAR 30%,mar,0.3,nearest_interpolation,rmse,9.85523280893304,0.2905248274288718,5,False,True
full_grid,mar_50,MAR 50%,mar,0.5,cubic_spline,rmse,19.541386331236005,2.6499864300620817,5,False,True
full_grid,mar_50,MAR 50%,mar,0.5,galpi,rmse,16.70835163124817,0.13551774467541575,5,False,True
full_grid,mar_50,MAR 50%,mar,0.5,linear_interpolation,rmse,13.310534780992509,0.44103014131862855,5,True,True
full_grid,mar_50,MAR 50%,mar,0.5,nearest_interpolation,rmse,15.478103110391128,0.4316257244155771,5,False,True
full_grid,mcar_10,MCAR 10%,mcar,0.1,cubic_spline,rmse,5.108392006870764,0.03309374852172477,5,False,True
full_grid,mcar_10,MCAR 10%,mcar,0.1,galpi,rmse,5.142246163612443,0.026237820555351343,5,False,True
full_grid,mcar_10,MCAR 10%,mcar,0.1,linear_interpolation,rmse,5.108043881566945,0.029698493539705384,5,True,True
full_grid,mcar_10,MCAR 10%,mcar,0.1,nearest_interpolation,rmse,8.29248673967064,0.04195409175909011,5,False,True
full_grid,mcar_30,MCAR 30%,mcar,0.3,cubic_spline,rmse,6.254051681139339,0.03817739852992152,5,False,True
full_grid,mcar_30,MCAR 30%,mcar,0.3,galpi,rmse,6.722506813629074,0.052953256258342435,5,False,True
full_grid,mcar_30,MCAR 30%,mcar,0.3,linear_interpolation,rmse,6.071545187473341,0.031156628318011505,5,True,True
full_grid,mcar_30,MCAR 30%,mcar,0.3,nearest_interpolation,rmse,8.894270031723917,0.024435321240829554,5,False,True
full_grid,mcar_50,MCAR 50%,mcar,0.5,cubic_spline,rmse,8.142520083150592,0.04502719287816916,5,False,True
full_grid,mcar_50,MCAR 50%,mcar,0.5,galpi,rmse,9.904410253336856,0.03086006691512134,5,False,True
full_grid,mcar_50,MCAR 50%,mcar,0.5,linear_interpolation,rmse,7.69308459374916,0.020898134785616255,5,True,True
full_grid,mcar_50,MCAR 50%,mcar,0.5,nearest_interpolation,rmse,10.289881362889801,0.021456559619180235,5,False,True
full_grid,mnar_10,MNAR 10%,mnar,0.1,cubic_spline,rmse,6.806547229766157,0.08238979766105645,5,True,True
full_grid,mnar_10,MNAR 10%,mnar,0.1,galpi,rmse,7.101703558874232,0.0940394628901647,5,False,True
full_grid,mnar_10,MNAR 10%,mnar,0.1,linear_interpolation,rmse,7.071010168063836,0.10724626538469448,5,False,True
full_grid,mnar_10,MNAR 10%,mnar,0.1,nearest_interpolation,rmse,12.118851502178932,0.12765215112003897,5,False,True
full_grid,mnar_30,MNAR 30%,mnar,0.3,cubic_spline,rmse,7.680861753564372,0.05902805087542562,5,True,True
full_grid,mnar_30,MNAR 30%,mnar,0.3,galpi,rmse,8.898505190790596,0.18699431947686104,5,False,True
full_grid,mnar_30,MNAR 30%,mnar,0.3,linear_interpolation,rmse,8.123711299234067,0.11433493985134484,5,False,True
full_grid,mnar_30,MNAR 30%,mnar,0.3,nearest_interpolation,rmse,12.726742772321494,0.10473032202768168,5,False,True
full_grid,mnar_50,MNAR 50%,mnar,0.5,cubic_spline,rmse,9.16245474350929,0.08072043713157688,5,True,True
full_grid,mnar_50,MNAR 50%,mnar,0.5,galpi,rmse,13.670298944575023,0.16020598481911044,5,False,True
full_grid,mnar_50,MNAR 50%,mnar,0.5,linear_interpolation,rmse,10.211371604335316,0.08847385024947381,5,False,True
full_grid,mnar_50,MNAR 50%,mnar,0.5,nearest_interpolation,rmse,14.233508531384725,0.09183994018894868,5,False,True
