run_id,algorithm,family,rate,realization,realized_rate,rmse,mae,train_s,PM25,PM10,SO2,NO2,CO,O3
51e3192d-e875-468c-b43d-970b6142e50d,stgcn_galpi,mar,0.5,test_r000,0.4538,28.059635,18.102901,0.0,26.607466,40.315842,6.661764,27.879206,2.209979,39.550240
51e3192d-e875-468c-b43d-970b6142e50d,stgcn_galpi,mar,0.5,test_r001,0.4508,27.892633,17.736202,0.0,26.997366,38.402020,7.709119,25.608515,1.044918,41.810322
51e3192d-e875-468c-b43d-970b6142e50d,stgcn_galpi,mar,0.5,test_r002,0.4843,32.328259,21.050940,0.0,32.028805,44.575020,6.389305,38.230938,2.494438,41.824287
51e3192d-e875-468c-b43d-970b6142e50d,stgcn_galpi,mar,0.5,test_r003,0.4839,28.554878,17.580727,0.0,23.194662,32.434624,6.081832,15.210317,2.339487,55.031570
51e3192d-e875-468c-b43d-970b6142e50d,stgcn_galpi,mar,0.5,test_r004,0.4778,32.616585,21.083990,0.0,36.045563,46.915207,6.527525,30.405014,2.242085,43.710762
33fc1a41-2ea5-4816-8d5f-25793ed98e22,stgcn_galpi,mcar,0.5,test_r000,0.5006,28.553772,18.590611,0.0,25.606236,38.448879,6.428325,26.707663,2.912784,44.653969
33fc1a41-2ea5-4816-8d5f-25793ed98e22,stgcn_galpi,mcar,0.5,test_r001,0.5006,28.805677,18.128706,0.0,26.505621,41.438168,5.729135,23.775230,1.993384,44.220570
33fc1a41-2ea5-4816-8d5f-25793ed98e22,stgcn_galpi,mcar,0.5,test_r002,0.4999,28.266390,17.709429,0.0,27.842932,36.311539,5.598530,27.370975,1.249996,43.822620
33fc1a41-2ea5-4816-8d5f-25793ed98e22,stgcn_galpi,mcar,0.5,test_r003,0.5000,27.791836,17.873177,0.0,24.878193,37.339008,6.129364,25.573772,2.124803,43.891804
33fc1a41-2ea5-4816-8d5f-25793ed98e22,stgcn_galpi,mcar,0.5,test_r004,0.4998,28.494265,18.531864,0.0,27.580124,39.731209,6.320454,24.523664,1.742419,43.418007
4a87bb40-19a8-4ce7-b76d-b8f1a05b40ec,stgcn_galpi,mnar,0.5,test_r000,0.0976,36.227177,24.154358,0.0,25.379824,34.553596,10.702176,30.859594,2.256885,51.636402
4a87bb40-19a8-4ce7-b76d-b8f1a05b40ec,stgcn_galpi,mnar,0.5,test_r001,0.0972,32.048443,21.184660,0.0,23.794991,30.641697,9.766906,28.411978,2.283951,44.937649
4a87bb40-19a8-4ce7-b76d-b8f1a05b40ec,stgcn_galpi,mnar,0.5,test_r002,0.0973,34.346943,22.897060,0.0,28.195753,29.399126,9.781028,31.224669,1.095256,48.622742
4a87bb40-19a8-4ce7-b76d-b8f1a05b40ec,stgcn_galpi,mnar,0.5,test_r003,0.0973,37.856632,24.699150,0.0,30.729839,32.804821,10.200098,27.954586,2.841300,55.732327
4a87bb40-19a8-4ce7-b76d-b8f1a05b40ec,stgcn_galpi,mnar,0.5,test_r004,0.0972,34.225189,22.658907,0.0,28.977697,36.133724,11.106803,29.081329,1.861972,46.551853
db1ad917-3a2b-4337-b0d7-5e62c3309a58,stgcn_galpi,node_holdout,0.5,test_r000,0.5000,36.434612,22.332930,0.0,35.097519,49.014420,6.715909,31.154781,1.685041,57.550617
db1ad917-3a2b-4337-b0d7-5e62c3309a58,stgcn_galpi,node_holdout,0.5,test_r001,0.5000,34.021328,21.088398,0.0,33.928268,45.764030,6.509975,30.454233,0.900302,52.235813
db1ad917-3a2b-4337-b0d7-5e62c3309a58,stgcn_galpi,node_holdout,0.5,test_r002,0.5000,31.782623,19.022543,0.0,26.655787,38.238419,6.748577,25.310064,1.068184,56.575783
