station_label,declared_rate,algorithm_id,mechanism_count,minimum_rmse,maximum_rmse,relative_range,normalized_score,status,caveats
full_grid,0.1,cubic_spline,3,5.108392006870764,6.806547229766157,0.24948849476414117,0.7505115052358589,available,
full_grid,0.1,galpi,3,5.142246163612443,7.101703558874232,0.2759137126771881,0.7240862873228119,available,
full_grid,0.1,linear_interpolation,3,5.108043881566945,7.071010168063836,0.27760761755973895,0.722392382440261,available,
full_grid,0.1,nearest_interpolation,3,8.29248673967064,12.118851502178932,0.3157365829443759,0.6842634170556241,available,
full_grid,0.3,cubic_spline,3,6.254051681139339,7.680861753564372,0.18576171765660396,0.814238282343396,available,
full_grid,0.3,galpi,3,6.722506813629074,8.898505190790596,0.24453527086926302,0.755464729130737,available,
full_grid,0.3,linear_interpolation,3,6.071545187473341,8.123711299234067,0.25261435767100826,0.7473856423289917,available,
full_grid,0.3,nearest_interpolation,3,8.894270031723917,12.726742772321494,0.3011353972622559,0.6988646027377441,available,
full_grid,0.5,cubic_spline,3,8.142520083150592,19.541386331236005,0.5833192207998493,0.4166807792001507,available,
full_grid,0.5,galpi,3,9.904410253336856,16.70835163124817,0.40721799062371283,0.5927820093762872,available,
full_grid,0.5,linear_interpolation,3,7.69308459374916,13.310534780992509,0.42203039018876143,0.5779696098112386,available,
full_grid,0.5,nearest_interpolation,3,10.289881362889801,15.478103110391128,0.3351975181001506,0.6648024818998495,available,
