station_label,mechanism_family,algorithm_id,low_rate,high_rate,rmse_low,rmse_high,absolute_degradation,relative_degradation_pct,normalized_score,low_count,high_count,status,caveats
full_grid,mar,cubic_spline,0.1,0.5,5.39822654793421,19.541386331236005,14.143159783301794,261.9964104454655,0.0,5,5,available,
full_grid,mar,galpi,0.1,0.5,5.484716001510892,16.70835163124817,11.223635629737279,204.6347637078286,0.31793897431767704,5,5,available,
full_grid,mar,linear_interpolation,0.1,0.5,5.398859762528646,13.310534780992509,7.911675018463862,146.5434437355768,0.639922315786486,5,5,available,
full_grid,mar,nearest_interpolation,0.1,0.5,8.524158490453726,15.478103110391128,6.953944619937403,81.57925064069588,1.0,5,5,available,
full_grid,mcar,cubic_spline,0.1,0.5,5.108392006870764,8.142520083150592,3.0341280762798277,59.394973451507624,0.4847164734844982,5,5,available,
full_grid,mcar,galpi,0.1,0.5,5.142246163612443,9.904410253336856,4.762164089724413,92.60863712481199,0.0,5,5,available,
full_grid,mcar,linear_interpolation,0.1,0.5,5.108043881566945,7.69308459374916,2.5850407121822148,50.60725342455803,0.6129634715672705,5,5,available,
full_grid,mcar,nearest_interpolation,0.1,0.5,8.29248673967064,10.289881362889801,1.9973946232191615,24.086799122195448,1.0,5,5,available,
full_grid,mnar,cubic_spline,0.1,0.5,6.806547229766157,9.16245474350929,2.3559075137431327,34.6123729728982,0.7712931974748903,5,5,available,
full_grid,mnar,galpi,0.1,0.5,7.101703558874232,13.670298944575023,6.5685953857007915,92.4932353377765,0.0,5,5,available,
full_grid,mnar,linear_interpolation,0.1,0.5,7.071010168063836,10.211371604335316,3.14036143627148,44.41177938698064,0.6407109083094844,5,5,available,
full_grid,mnar,nearest_interpolation,0.1,0.5,12.118851502178932,14.233508531384725,2.1146570292057927,17.449318764452094,1.0,5,5,available,
