result_id,algorithm_id,realization_id,support_fingerprint,metric,value
0000a73a-213b-45d7-8e56-ee6d89af49aa,cubic_spline,test_r007,c20ecea7d5d435f8addbc5bb3795c002671eef03e467fabff9fc33b059b0ddba,rmse,4.997676631962485
03b22747-a0bb-444c-9845-ce0553dd581c,linear_interpolation,test_r009,c20ecea7d5d435f8addbc5bb3795c002671eef03e467fabff9fc33b059b0ddba,rmse,5.47335118926664
043e1e64-03bd-4bdd-9a9b-eb0e45eab03a,galpi,test_r010,c20ecea7d5d435f8addbc5bb3795c002671eef03e467fabff9fc33b059b0ddba,rmse,5.514257554645022
0e246706-7a24-4ea1-9294-a6c9984effaf,nearest_interpolation,test_r012,c20ecea7d5d435f8addbc5bb3795c002671eef03e467fabff9fc33b059b0ddba,rmse,8.536049722354807
0ed7e49d-86e5-48b2-bb4a-bc85ee4c4c09,nearest_interpolation,test_r008,c20ecea7d5d435f8addbc5bb3795c002671eef03e467fabff9fc33b059b0ddba,rmse,8.63508782502196
0fde18e9-7a97-4e70-b9b4-f30def33f4ce,cubic_spline,test_r005,c20ecea7d5d435f8addbc5bb3795c002671eef03e467fabff9fc33b059b0ddba,rmse,4.977890468993284
12decbbb-51ee-4301-8f81-6948498a84e7,nearest_interpolation,test_r018,c20ecea7d5d435f8addbc5bb3795c002671eef03e467fabff9fc33b059b0ddba,rmse,8.882456372169262
1635aca2-f8ff-4f6c-ba46-47c003caa170,galpi,test_r012,c20ecea7d5d435f8addbc5bb3795c002671eef03e467fabff9fc33b059b0ddba,rmse,5.496296921886782
1795f7df-a4a6-4381-8a43-89692abf7930,cubic_spline,test_r017,c20ecea7d5d435f8addbc5bb3795c002671eef03e467fabff9fc33b059b0ddba,rmse,5.462593754744122
19710f26-2c8b-4019-943a-00cca242fd69,linear_interpolation,test_r011,c20ecea7d5d435f8addbc5bb3795c002671eef03e467fabff9fc33b059b0ddba,rmse,5.035936091488632
1ddbd3a6-50f8-45e9-bb16-14088a3b066e,nearest_interpolation,test_r006,c20ecea7d5d435f8addbc5bb3795c002671eef03e467fabff9fc33b059b0ddba,rmse,8.141855239252873
20575075-1580-4bde-b422-dadabdf03a59,cubic_spline,test_r002,c20ecea7d5d435f8addbc5bb3795c002671eef03e467fabff9fc33b059b0ddba,rmse,5.455149780411323
23d7ee3b-9da4-405d-9a91-69a9f051e469,cubic_spline,test_r003,c20ecea7d5d435f8addbc5bb3795c002671eef03e467fabff9fc33b059b0ddba,rmse,5.015738197660587
2524e506-47dc-4def-976d-42c0e781e3df,nearest_interpolation,test_r002,c20ecea7d5d435f8addbc5bb3795c002671eef03e467fabff9fc33b059b0ddba,rmse,8.57916557929411
2a726093-f37f-416d-bdf9-530a786fec24,cubic_spline,test_r018,c20ecea7d5d435f8addbc5bb3795c002671eef03e467fabff9fc33b059b0ddba,rmse,5.501702428324163
2d222b89-9ff8-4d01-809e-95639bf0df96,linear_interpolation,test_r001,c20ecea7d5d435f8addbc5bb3795c002671eef03e467fabff9fc33b059b0ddba,rmse,5.592763952605308
2f54d098-5b6c-4003-a7ea-173a23492fb9,nearest_interpolation,test_r010,c20ecea7d5d435f8addbc5bb3795c002671eef03e467fabff9fc33b059b0ddba,rmse,8.616033102107117
370f20f7-291a-420b-87ea-4e3b0730f35e,nearest_interpolation,test_r009,c20ecea7d5d435f8addbc5bb3795c002671eef03e467fabff9fc33b059b0ddba,rmse,8.622230696812824
3749434a-e176-4b3d-9267-993bef2f973d,cubic_spline,test_r009,c20ecea7d5d435f8addbc5bb3795c002671eef03e467fabff9fc33b059b0ddba,rmse,5.42681956480509
3796382b-2845-409b-9e97-51cda83b6fe1,cubic_spline,test_r011,c20ecea7d5d435f8addbc5bb3795c002671eef03e467fabff9fc33b059b0ddba,rmse,5.086408972164964
37abe274-887f-4249-9ab4-af759eb69248,linear_interpolation,test_r014,c20ecea7d5d435f8addbc5bb3795c002671eef03e467fabff9fc33b059b0ddba,rmse,5.482742959236208
3c96d67c-7ecf-43f1-a625-6619103c51b1,cubic_spline,test_r001,c20ecea7d5d435f8addbc5bb3795c002671eef03e467fabff9fc33b059b0ddba,rmse,5.595928551578186
3f199379-087b-480a-9016-dbd847682977,nearest_interpolation,test_r013,c20ecea7d5d435f8addbc5bb3795c002671eef03e467fabff9fc33b059b0ddba,rmse,8.965332464017596
400b88b2-cdf2-4c96-90be-cfd6568597e2,linear_interpolation,test_r002,c20ecea7d5d435f8addbc5bb3795c002671eef03e467fabff9fc33b059b0ddba,rmse,5.479757321275347
40ad9377-964f-4ffe-ba74-fd3743857fa8,galpi,test_r001,c20ecea7d5d435f8addbc5bb3795c002671eef03e467fabff9fc33b059b0ddba,rmse,5.684939160195898
