algorithm_id,station_label,recipe_label,family,n,mean_rmse,std_rmse,median_rmse,mean_mae,mean_runtime,rank,is_best,rank_allowed,comparison_status,claim_level
cubic_spline,full_grid,MAR 10%,classical,20,5.329781512906371,0.23041052607040552,5.422905455233696,2.698063793374216,5.712878780000028,1,True,True,compatible,bounded_comparison
linear_interpolation,full_grid,MAR 10%,naive,20,5.342188685314598,0.2444263104032024,5.441696036179546,2.709290776157608,0.15997027499997785,2,False,True,compatible,bounded_comparison
galpi,full_grid,MAR 10%,classical,20,5.427997764984224,0.24566356693299646,5.5194657541455765,2.73402558804337,5.222762190000094,3,False,True,compatible,bounded_comparison
nearest_interpolation,full_grid,MAR 10%,classical,20,8.470932209170972,0.2826748935090703,8.533200758766744,4.336152944728704,0.1995587549999982,4,False,True,compatible,bounded_comparison
linear_interpolation,full_grid,MAR 30%,naive,20,7.08440354874932,0.3250620575817346,7.129736068196558,3.5121926359549844,0.21846052500022778,1,True,True,compatible,bounded_comparison
cubic_spline,full_grid,MAR 30%,classical,20,7.332726656703207,0.3438707813725268,7.373089477175187,3.6233325364736366,9.701713715000006,2,False,True,compatible,bounded_comparison
galpi,full_grid,MAR 30%,classical,20,8.812826740618425,0.32857838080155427,8.859647283597655,4.077939808424363,11.42686378999988,3,False,True,compatible,bounded_comparison
nearest_interpolation,full_grid,MAR 30%,classical,20,9.794605225127409,0.3088202277222874,9.813657092284988,4.875852999989662,0.34233539999986534,4,False,True,compatible,bounded_comparison
linear_interpolation,full_grid,MAR 50%,naive,20,13.224859952929771,0.43092241842221535,13.299591004139419,6.126908284218742,0.4065999199999169,1,True,True,compatible,bounded_comparison
nearest_interpolation,full_grid,MAR 50%,classical,20,15.371716789253536,0.41039685684018257,15.444454671286405,7.232966773557168,0.5102453899998182,2,False,True,compatible,bounded_comparison
galpi,full_grid,MAR 50%,classical,20,16.74474016199321,0.3687491841857481,16.650787663599658,7.8147115538389915,30.639686114999677,3,False,True,compatible,bounded_comparison
cubic_spline,full_grid,MAR 50%,classical,20,19.31057077976623,3.142836338207967,20.66014825103753,7.5987037587331185,26.49972297000013,4,False,True,compatible,bounded_comparison
cubic_spline,full_grid,MCAR 10%,classical,20,5.1102164087063455,0.03188951166616372,5.108290125166912,2.5846137809289056,6.484522815000128,1,True,True,compatible,bounded_comparison
linear_interpolation,full_grid,MCAR 10%,naive,20,5.111306278263098,0.03168937167694506,5.109713915220846,2.5960573002040412,0.19479852499998743,2,False,True,compatible,bounded_comparison
galpi,full_grid,MCAR 10%,classical,20,5.142118901191546,0.030020999879206246,5.137903036934489,2.6049601154629274,7.024954979999938,3,False,True,compatible,bounded_comparison
nearest_interpolation,full_grid,MCAR 10%,classical,20,8.291341752605929,0.03861101037258175,8.289573248742588,4.232494352809472,0.2716244499999448,4,False,True,compatible,bounded_comparison
linear_interpolation,full_grid,MCAR 30%,naive,20,6.0708286958657265,0.02403072245048883,6.0706260472718485,3.052305027395195,0.23821755000003578,1,True,True,compatible,bounded_comparison
cubic_spline,full_grid,MCAR 30%,classical,20,6.247403923058919,0.02696454142117809,6.237838023692616,3.12915058410747,14.131447359999992,2,False,True,compatible,bounded_comparison
galpi,full_grid,MCAR 30%,classical,20,6.724059691050151,0.04046995551349464,6.7202258056218565,3.256822247905796,15.351465920000146,3,False,True,compatible,bounded_comparison
nearest_interpolation,full_grid,MCAR 30%,classical,20,8.889930299927542,0.024112084372088827,8.890480146467837,4.4676654723928495,0.41309181500005254,4,False,True,compatible,bounded_comparison
linear_interpolation,full_grid,MCAR 50%,naive,20,7.695645172801678,0.03687564952766943,7.695084018478963,3.807509874515575,0.46528698499996607,1,True,True,compatible,bounded_comparison
cubic_spline,full_grid,MCAR 50%,classical,20,8.157415849965568,0.07305772339139466,8.139961026123991,4.008117096914206,21.32880944999988,2,False,True,compatible,bounded_comparison
