object_type,object_id,result_id,algorithm_id,run_id,dataset_id,phase_key,status,experiment_domain,actual_execution_class,graph_policy,graph_fingerprint,benchmark_contract_id,benchmark_mask_bank_id,current_experiment_id,suggested_experiment_id,user_approved_experiment_id,reason
result,ae35f14b-8c5c-439d-93a7-91b5facdd1d6,ae35f14b-8c5c-439d-93a7-91b5facdd1d6,stgcn,97611198-e44f-4f53-b1bb-205b804cb406,fa9c7108-176e-4c68-840d-6acf3a3e59e4,test,COMPLETED,spatiotemporal,spatiotemporal,grid_4n_v1,sha256:ff68c2f545d16f90d1e3b4a9b00305d1b291b92f29d9cd1557f2a1e30e9bd432,b7071efa-15b0-4e8e-a7f8-9a33705587bf,92206edb-a799-436d-8f63-8c08fe715753,,exp_st,exp_st,st_predicate_match:algorithm+graph_or_domain
result,f7deb245-48e2-4f26-a0d1-bb517cbf8550,f7deb245-48e2-4f26-a0d1-bb517cbf8550,stgcn,97611198-e44f-4f53-b1bb-205b804cb406,fa9c7108-176e-4c68-840d-6acf3a3e59e4,test,COMPLETED,spatiotemporal,spatiotemporal,grid_4n_v1,sha256:ff68c2f545d16f90d1e3b4a9b00305d1b291b92f29d9cd1557f2a1e30e9bd432,b7071efa-15b0-4e8e-a7f8-9a33705587bf,92206edb-a799-436d-8f63-8c08fe715753,,exp_st,exp_st,st_predicate_match:algorithm+graph_or_domain
result,a65b8c8c-4cce-4f1e-9b2d-714b8b7318d4,a65b8c8c-4cce-4f1e-9b2d-714b8b7318d4,stgcn,97611198-e44f-4f53-b1bb-205b804cb406,fa9c7108-176e-4c68-840d-6acf3a3e59e4,test,COMPLETED,spatiotemporal,spatiotemporal,grid_4n_v1,sha256:ff68c2f545d16f90d1e3b4a9b00305d1b291b92f29d9cd1557f2a1e30e9bd432,b7071efa-15b0-4e8e-a7f8-9a33705587bf,92206edb-a799-436d-8f63-8c08fe715753,,exp_st,exp_st,st_predicate_match:algorithm+graph_or_domain
result,b488fd54-0fb6-4908-9eea-11450b4ab04d,b488fd54-0fb6-4908-9eea-11450b4ab04d,stgcn,97611198-e44f-4f53-b1bb-205b804cb406,fa9c7108-176e-4c68-840d-6acf3a3e59e4,test,COMPLETED,spatiotemporal,spatiotemporal,grid_4n_v1,sha256:ff68c2f545d16f90d1e3b4a9b00305d1b291b92f29d9cd1557f2a1e30e9bd432,b7071efa-15b0-4e8e-a7f8-9a33705587bf,92206edb-a799-436d-8f63-8c08fe715753,,exp_st,exp_st,st_predicate_match:algorithm+graph_or_domain
result,bc2997a3-1266-4952-8179-73d33c0bfdbe,bc2997a3-1266-4952-8179-73d33c0bfdbe,stgcn,97611198-e44f-4f53-b1bb-205b804cb406,fa9c7108-176e-4c68-840d-6acf3a3e59e4,test,COMPLETED,spatiotemporal,spatiotemporal,grid_4n_v1,sha256:ff68c2f545d16f90d1e3b4a9b00305d1b291b92f29d9cd1557f2a1e30e9bd432,b7071efa-15b0-4e8e-a7f8-9a33705587bf,92206edb-a799-436d-8f63-8c08fe715753,,exp_st,exp_st,st_predicate_match:algorithm+graph_or_domain
result,36dfa7be-a215-401d-a623-a0ccc246926c,36dfa7be-a215-401d-a623-a0ccc246926c,stgcn,0a925817-a424-497f-ba1c-76f40e3542bc,fa9c7108-176e-4c68-840d-6acf3a3e59e4,test,COMPLETED,spatiotemporal,spatiotemporal,grid_4n_v1,sha256:ff68c2f545d16f90d1e3b4a9b00305d1b291b92f29d9cd1557f2a1e30e9bd432,48cd32ea-da71-4ce0-8433-51c01ee1f4fb,187f5c93-de6b-4c10-b9d1-21aa2dacebd1,,exp_st,exp_st,st_predicate_match:algorithm+graph_or_domain
result,250ba375-3547-4f9f-8efa-dc62a163dd2e,250ba375-3547-4f9f-8efa-dc62a163dd2e,stgcn,0a925817-a424-497f-ba1c-76f40e3542bc,fa9c7108-176e-4c68-840d-6acf3a3e59e4,test,COMPLETED,spatiotemporal,spatiotemporal,grid_4n_v1,sha256:ff68c2f545d16f90d1e3b4a9b00305d1b291b92f29d9cd1557f2a1e30e9bd432,48cd32ea-da71-4ce0-8433-51c01ee1f4fb,187f5c93-de6b-4c10-b9d1-21aa2dacebd1,,exp_st,exp_st,st_predicate_match:algorithm+graph_or_domain
result,cb2eb311-d6e7-414f-981e-737f396579c5,cb2eb311-d6e7-414f-981e-737f396579c5,stgcn,0a925817-a424-497f-ba1c-76f40e3542bc,fa9c7108-176e-4c68-840d-6acf3a3e59e4,test,COMPLETED,spatiotemporal,spatiotemporal,grid_4n_v1,sha256:ff68c2f545d16f90d1e3b4a9b00305d1b291b92f29d9cd1557f2a1e30e9bd432,48cd32ea-da71-4ce0-8433-51c01ee1f4fb,187f5c93-de6b-4c10-b9d1-21aa2dacebd1,,exp_st,exp_st,st_predicate_match:algorithm+graph_or_domain
result,212bb572-8c39-471b-a4db-e1c07e4242bf,212bb572-8c39-471b-a4db-e1c07e4242bf,stgcn,0a925817-a424-497f-ba1c-76f40e3542bc,fa9c7108-176e-4c68-840d-6acf3a3e59e4,test,COMPLETED,spatiotemporal,spatiotemporal,grid_4n_v1,sha256:ff68c2f545d16f90d1e3b4a9b00305d1b291b92f29d9cd1557f2a1e30e9bd432,48cd32ea-da71-4ce0-8433-51c01ee1f4fb,187f5c93-de6b-4c10-b9d1-21aa2dacebd1,,exp_st,exp_st,st_predicate_match:algorithm+graph_or_domain
result,9d4117a3-3f51-47b0-8c48-7ac6c58ff5de,9d4117a3-3f51-47b0-8c48-7ac6c58ff5de,stgcn,0a925817-a424-497f-ba1c-76f40e3542bc,fa9c7108-176e-4c68-840d-6acf3a3e59e4,test,COMPLETED,spatiotemporal,spatiotemporal,grid_4n_v1,sha256:ff68c2f545d16f90d1e3b4a9b00305d1b291b92f29d9cd1557f2a1e30e9bd432,48cd32ea-da71-4ce0-8433-51c01ee1f4fb,187f5c93-de6b-4c10-b9d1-21aa2dacebd1,,exp_st,exp_st,st_predicate_match:algorithm+graph_or_domain
result,fadad062-6c98-4629-92c1-a39ca6ed9302,fadad062-6c98-4629-92c1-a39ca6ed9302,stgcn,c4a2ea41-6e16-492b-9091-8f45a9575bd4,fa9c7108-176e-4c68-840d-6acf3a3e59e4,test,COMPLETED,spatiotemporal,spatiotemporal,grid_4n_v1,sha256:ff68c2f545d16f90d1e3b4a9b00305d1b291b92f29d9cd1557f2a1e30e9bd432,5a345f47-e01d-4f0a-a9a1-bf051f02c659,ab272862-a6c1-4906-86f6-94c150844aee,,exp_st,exp_st,st_predicate_match:algorithm+graph_or_domain
