bank_id,mask_family,realization_id,target_rate,realized_rate,absolute_error,hidden_count,total_count,graph_fingerprint,hidden_support_fingerprint
a2ffc9e8-f87f-49ce-ad76-6288cef7f4ba,mcar,test_r000,0.5,0.500576274837794,0.0005762748377939886,1580059,3156480,sha256:c26d0d2aac2bece4eb8d6eff0003db1f0640763ff467a93cf928279fea9682ae,sha256:c5c5cef2b5e6675e570b0746c04c473002f4f6373fb9bd972abd7f59f93272c8
a2ffc9e8-f87f-49ce-ad76-6288cef7f4ba,mcar,test_r001,0.5,0.5005841950527169,0.000584195052716896,1580084,3156480,sha256:c26d0d2aac2bece4eb8d6eff0003db1f0640763ff467a93cf928279fea9682ae,sha256:b74276a10990cc2e668fbd2c84ecf49abd4038cf4490ecdc00768c9d3d5fa7b2
1be1c61d-08e2-4abf-b7dc-5516c0f4049e,mcar,test_r000,0.5,0.500576274837794,0.0005762748377939886,1580059,3156480,sha256:c26d0d2aac2bece4eb8d6eff0003db1f0640763ff467a93cf928279fea9682ae,sha256:c5c5cef2b5e6675e570b0746c04c473002f4f6373fb9bd972abd7f59f93272c8
1be1c61d-08e2-4abf-b7dc-5516c0f4049e,mcar,test_r001,0.5,0.5005841950527169,0.000584195052716896,1580084,3156480,sha256:c26d0d2aac2bece4eb8d6eff0003db1f0640763ff467a93cf928279fea9682ae,sha256:b74276a10990cc2e668fbd2c84ecf49abd4038cf4490ecdc00768c9d3d5fa7b2
172c3580-bf6c-4eff-bc92-a582f99cf00a,mnar,test_r000,0.5,0.09745412611516627,0.40254587388483376,307612,3156480,,
172c3580-bf6c-4eff-bc92-a582f99cf00a,mnar,test_r001,0.5,0.0975757806163828,0.40242421938361717,307996,3156480,,
172c3580-bf6c-4eff-bc92-a582f99cf00a,mnar,test_r002,0.5,0.0974477899432279,0.4025522100567721,307592,3156480,,
172c3580-bf6c-4eff-bc92-a582f99cf00a,mnar,test_r003,0.5,0.09727227798053528,0.4027277220194647,307038,3156480,,
172c3580-bf6c-4eff-bc92-a582f99cf00a,mnar,test_r004,0.5,0.09715442518248175,0.40284557481751826,306666,3156480,,
172c3580-bf6c-4eff-bc92-a582f99cf00a,mnar,test_r005,0.5,0.0973689046025953,0.4026310953974047,307343,3156480,,
