bank_id,dataset_id,mask_family,realization_count,split_fingerprint,eligibility_fingerprint
a2ffc9e8-f87f-49ce-ad76-6288cef7f4ba,c1b03ed1-dad4-444b-a06d-e85cb81378b6,mcar,2,6d3d21709e214a8b617731b0a956d7989e7f1d32585fe646655825d9465833c6,c20ecea7d5d435f8addbc5bb3795c002671eef03e467fabff9fc33b059b0ddba
1be1c61d-08e2-4abf-b7dc-5516c0f4049e,c1b03ed1-dad4-444b-a06d-e85cb81378b6,mcar,2,6d3d21709e214a8b617731b0a956d7989e7f1d32585fe646655825d9465833c6,c20ecea7d5d435f8addbc5bb3795c002671eef03e467fabff9fc33b059b0ddba
172c3580-bf6c-4eff-bc92-a582f99cf00a,c1b03ed1-dad4-444b-a06d-e85cb81378b6,mnar,20,6d3d21709e214a8b617731b0a956d7989e7f1d32585fe646655825d9465833c6,c20ecea7d5d435f8addbc5bb3795c002671eef03e467fabff9fc33b059b0ddba
850b0ae2-8035-4082-afa9-1206311c2af2,c1b03ed1-dad4-444b-a06d-e85cb81378b6,mar,20,6d3d21709e214a8b617731b0a956d7989e7f1d32585fe646655825d9465833c6,c20ecea7d5d435f8addbc5bb3795c002671eef03e467fabff9fc33b059b0ddba
c2b42b87-ffa2-4c08-b8e7-af8314151765,c1b03ed1-dad4-444b-a06d-e85cb81378b6,mcar,20,6d3d21709e214a8b617731b0a956d7989e7f1d32585fe646655825d9465833c6,c20ecea7d5d435f8addbc5bb3795c002671eef03e467fabff9fc33b059b0ddba
60322f40-1a24-409b-9ab0-d481cccae102,c1b03ed1-dad4-444b-a06d-e85cb81378b6,mnar,20,6d3d21709e214a8b617731b0a956d7989e7f1d32585fe646655825d9465833c6,c20ecea7d5d435f8addbc5bb3795c002671eef03e467fabff9fc33b059b0ddba
87ca2d28-37ea-4f96-9ab8-36eee858db1c,c1b03ed1-dad4-444b-a06d-e85cb81378b6,mnar,20,6d3d21709e214a8b617731b0a956d7989e7f1d32585fe646655825d9465833c6,c20ecea7d5d435f8addbc5bb3795c002671eef03e467fabff9fc33b059b0ddba
1b24c9ed-a90e-41ce-8270-8f1d802e7835,c1b03ed1-dad4-444b-a06d-e85cb81378b6,mar,20,6d3d21709e214a8b617731b0a956d7989e7f1d32585fe646655825d9465833c6,c20ecea7d5d435f8addbc5bb3795c002671eef03e467fabff9fc33b059b0ddba
fd185438-40ae-477e-a432-f45f01db0f1b,c1b03ed1-dad4-444b-a06d-e85cb81378b6,mar,20,6d3d21709e214a8b617731b0a956d7989e7f1d32585fe646655825d9465833c6,c20ecea7d5d435f8addbc5bb3795c002671eef03e467fabff9fc33b059b0ddba
3a2c1f55-5caa-4a3a-861f-e362106c11f6,c1b03ed1-dad4-444b-a06d-e85cb81378b6,mcar,20,6d3d21709e214a8b617731b0a956d7989e7f1d32585fe646655825d9465833c6,c20ecea7d5d435f8addbc5bb3795c002671eef03e467fabff9fc33b059b0ddba
66b98ad7-30be-485d-99d8-1199e69f4ad6,c1b03ed1-dad4-444b-a06d-e85cb81378b6,mcar,20,6d3d21709e214a8b617731b0a956d7989e7f1d32585fe646655825d9465833c6,c20ecea7d5d435f8addbc5bb3795c002671eef03e467fabff9fc33b059b0ddba
10a2edb2-0420-4896-9597-de472876a6ad,c1b03ed1-dad4-444b-a06d-e85cb81378b6,mcar,20,6d3d21709e214a8b617731b0a956d7989e7f1d32585fe646655825d9465833c6,c20ecea7d5d435f8addbc5bb3795c002671eef03e467fabff9fc33b059b0ddba
4039182f-a8db-4334-9172-fcc9889d276a,c1b03ed1-dad4-444b-a06d-e85cb81378b6,mnar,5,6d3d21709e214a8b617731b0a956d7989e7f1d32585fe646655825d9465833c6,c20ecea7d5d435f8addbc5bb3795c002671eef03e467fabff9fc33b059b0ddba
99feecf3-88bf-4aaa-aaf7-0442c673ee00,c1b03ed1-dad4-444b-a06d-e85cb81378b6,mar,5,6d3d21709e214a8b617731b0a956d7989e7f1d32585fe646655825d9465833c6,c20ecea7d5d435f8addbc5bb3795c002671eef03e467fabff9fc33b059b0ddba
16b0a16b-5f3f-44eb-9653-f23133fb5e1e,c1b03ed1-dad4-444b-a06d-e85cb81378b6,mcar,5,6d3d21709e214a8b617731b0a956d7989e7f1d32585fe646655825d9465833c6,c20ecea7d5d435f8addbc5bb3795c002671eef03e467fabff9fc33b059b0ddba
c8e70afb-1f72-4bfc-aca5-c106fd2c131e,c1b03ed1-dad4-444b-a06d-e85cb81378b6,mnar,5,6d3d21709e214a8b617731b0a956d7989e7f1d32585fe646655825d9465833c6,c20ecea7d5d435f8addbc5bb3795c002671eef03e467fabff9fc33b059b0ddba
c0ba7279-9d9f-4136-af76-ed28f64aa29b,c1b03ed1-dad4-444b-a06d-e85cb81378b6,mnar,5,6d3d21709e214a8b617731b0a956d7989e7f1d32585fe646655825d9465833c6,c20ecea7d5d435f8addbc5bb3795c002671eef03e467fabff9fc33b059b0ddba
c3a0b274-786b-480d-a5ca-9b00c1fa0256,c1b03ed1-dad4-444b-a06d-e85cb81378b6,mar,5,6d3d21709e214a8b617731b0a956d7989e7f1d32585fe646655825d9465833c6,c20ecea7d5d435f8addbc5bb3795c002671eef03e467fabff9fc33b059b0ddba
20c9ee48-338f-4c95-913e-9dede901f7b6,c1b03ed1-dad4-444b-a06d-e85cb81378b6,mar,5,6d3d21709e214a8b617731b0a956d7989e7f1d32585fe646655825d9465833c6,c20ecea7d5d435f8addbc5bb3795c002671eef03e467fabff9fc33b059b0ddba
58459209-69d8-4ba5-960d-8f606ecce4ce,c1b03ed1-dad4-444b-a06d-e85cb81378b6,mcar,5,6d3d21709e214a8b617731b0a956d7989e7f1d32585fe646655825d9465833c6,c20ecea7d5d435f8addbc5bb3795c002671eef03e467fabff9fc33b059b0ddba
0ab0780d-50e6-45dd-a719-225a9b4d8b92,c1b03ed1-dad4-444b-a06d-e85cb81378b6,mcar,5,6d3d21709e214a8b617731b0a956d7989e7f1d32585fe646655825d9465833c6,c20ecea7d5d435f8addbc5bb3795c002671eef03e467fabff9fc33b059b0ddba
