station_label,recipe_label,algorithm_id,pollutant,mae,rmse
full_grid,MCAR 10%,gru_d,co,0.2875489632709327,0.35914568211140285
full_grid,MCAR 10%,gru_d,no2,17.19650507054983,21.935851684710695
full_grid,MCAR 10%,gru_d,o3,31.09961570018185,39.82741379098442
full_grid,MCAR 10%,gru_d,pm10,25.97197659833455,34.398413097996375
full_grid,MCAR 10%,gru_d,pm25,18.30714257652527,26.404282425190488
full_grid,MCAR 10%,gru_d,so2,2.0324075994400355,2.9523477298806804
full_grid,MCAR 10%,gru_d,co,0.2851866793797663,0.3560973422594716
full_grid,MCAR 10%,gru_d,no2,17.123691421497988,21.76641422967791
full_grid,MCAR 10%,gru_d,o3,31.17025100176569,40.34686442407671
full_grid,MCAR 10%,gru_d,pm10,26.246387615279602,34.71533671264193
full_grid,MCAR 10%,gru_d,pm25,18.750622505746524,27.364401079020617
full_grid,MCAR 10%,gru_d,so2,2.029173913867524,3.086696761459585
full_grid,MCAR 10%,gru_d,co,0.2870542235106708,0.3594184380367266
full_grid,MCAR 10%,gru_d,no2,17.041789599375818,21.68610192686015
full_grid,MCAR 10%,gru_d,o3,31.65809076826409,40.772410073085915
full_grid,MCAR 10%,gru_d,pm10,26.028502310618727,34.19361936186788
full_grid,MCAR 10%,gru_d,pm25,18.671323026897245,27.43306782768588
full_grid,MCAR 10%,gru_d,so2,2.1147309633890807,4.671512447810175
full_grid,MCAR 10%,gru_d,co,0.2841992002439472,0.3545062604523316
full_grid,MCAR 10%,gru_d,no2,17.05445583013259,21.787730808334185
full_grid,MCAR 10%,gru_d,o3,31.257812051677533,40.35593561740793
full_grid,MCAR 10%,gru_d,pm10,26.14303738560338,34.25830421654637
full_grid,MCAR 10%,gru_d,pm25,18.769216858929518,27.789479976302086
full_grid,MCAR 10%,gru_d,so2,2.051129973944423,3.1034116498178452
full_grid,MCAR 10%,gru_d,co,0.2869524464829136,0.36132618605315137
full_grid,MCAR 10%,gru_d,no2,17.01529019504374,21.70172484087575
full_grid,MCAR 10%,gru_d,o3,31.55238591638309,40.57940056959131
full_grid,MCAR 10%,gru_d,pm10,25.70521299119423,34.122530094521956
full_grid,MCAR 10%,gru_d,pm25,18.522895766029578,27.206465744180925
full_grid,MCAR 10%,gru_d,so2,2.011508140939633,2.977635696499413
