algorithm_id,mask_family,realization_id,realization_id_db,recipe_id,db_result_count,mean_mae,mean_rmse,graph_fingerprint,support_fingerprint,is_complete,blockers
dcrnn,mar,r001,test_r000,official_londonaq_st_benchmark:mar:30,3,33.442067,44.790866,sha256:1691d10769e12e8c48659d0a20c0fa0d8776aa38ccac0352c22d9b8373a26443,sha256:5ecfe095e4f48ce45c6d04988fb9e6095fbbf8025b23898c82d1f60afc48bf0f,True,
dcrnn,mar,r002,test_r001,official_londonaq_st_benchmark:mar:30,3,36.756872,47.088936,sha256:1691d10769e12e8c48659d0a20c0fa0d8776aa38ccac0352c22d9b8373a26443,sha256:9e2ba3dbae31bd2d8c259d20b8f14af5833c641adec5e824ea0a26c1371c56ce,True,
dcrnn,mar,r003,test_r002,official_londonaq_st_benchmark:mar:30,3,29.835634,40.112658,sha256:1691d10769e12e8c48659d0a20c0fa0d8776aa38ccac0352c22d9b8373a26443,sha256:047f406ed5ee8b8f9adade12d47e96c0c6906eaebd98ec3b8171a2ee18be7208,True,
dcrnn,mar,r004,test_r003,official_londonaq_st_benchmark:mar:30,3,33.284988,44.460453,sha256:1691d10769e12e8c48659d0a20c0fa0d8776aa38ccac0352c22d9b8373a26443,sha256:dfbca3e56e013aa8b758897d00a47356b3f3c119b24f73a651d88de231d1b16d,True,
dcrnn,mar,r005,test_r004,official_londonaq_st_benchmark:mar:30,3,35.291504,44.777800,sha256:1691d10769e12e8c48659d0a20c0fa0d8776aa38ccac0352c22d9b8373a26443,sha256:7c83e97326a56e76ee530c338a4ea4262d3f859a3adf2388316042a230b13176,True,
dcrnn,mcar,r001,test_r000,official_londonaq_st_benchmark:mcar:30,3,29.656566,39.202061,sha256:1691d10769e12e8c48659d0a20c0fa0d8776aa38ccac0352c22d9b8373a26443,sha256:f5df99c410d31b4a9e4a51fedaf0c983843dfd5305cdcfda941415886cfe2c4a,True,
dcrnn,mcar,r002,test_r001,official_londonaq_st_benchmark:mcar:30,3,29.560055,39.121337,sha256:1691d10769e12e8c48659d0a20c0fa0d8776aa38ccac0352c22d9b8373a26443,sha256:5a610032339bd0861687139403d6706b2f3d339d987d9222988d7afb35405635,True,
dcrnn,mcar,r003,test_r002,official_londonaq_st_benchmark:mcar:30,3,29.611671,39.070302,sha256:1691d10769e12e8c48659d0a20c0fa0d8776aa38ccac0352c22d9b8373a26443,sha256:819af6d7ebd0bd3571692df30cb7e515576b0d96ffd0e8fbccffeb1a70d5cc4a,True,
dcrnn,mcar,r004,test_r003,official_londonaq_st_benchmark:mcar:30,3,29.867072,39.452852,sha256:1691d10769e12e8c48659d0a20c0fa0d8776aa38ccac0352c22d9b8373a26443,sha256:6ab6dbd883c03969340e8a68c46f0ec619790ed7b6b14fbff94ca77bc88c764c,True,
dcrnn,mcar,r005,test_r004,official_londonaq_st_benchmark:mcar:30,3,29.536981,39.194776,sha256:1691d10769e12e8c48659d0a20c0fa0d8776aa38ccac0352c22d9b8373a26443,sha256:8ad7e1fb7189f5a8abb3c1681576aa179821b42cbf1d73011c70f9b6d98dd524,True,
dcrnn,mnar,r001,test_r000,official_londonaq_st_benchmark:mnar:30,3,47.743245,57.351006,sha256:1691d10769e12e8c48659d0a20c0fa0d8776aa38ccac0352c22d9b8373a26443,sha256:5cbf4ca57fa5ae39c7bb12659575fce3916ea8ca786ee735dd0413ca2bf3037d,True,
dcrnn,mnar,r002,test_r001,official_londonaq_st_benchmark:mnar:30,3,47.513849,57.157004,sha256:1691d10769e12e8c48659d0a20c0fa0d8776aa38ccac0352c22d9b8373a26443,sha256:0493ec4679a6f8993a42a0c9c6212f88cf504fbd1e7f49bf25936b84875f139b,True,
dcrnn,mnar,r003,test_r002,official_londonaq_st_benchmark:mnar:30,3,47.819609,57.444201,sha256:1691d10769e12e8c48659d0a20c0fa0d8776aa38ccac0352c22d9b8373a26443,sha256:22ddc8ba4879566547c62605883e6aaec036ed8c5ad8781d180e49c3df06ba77,True,
dcrnn,mnar,r004,test_r003,official_londonaq_st_benchmark:mnar:30,3,47.645107,57.260616,sha256:1691d10769e12e8c48659d0a20c0fa0d8776aa38ccac0352c22d9b8373a26443,sha256:6d87bd795eb1f5f556718ba665a398e8807899d18f68ae213e6b778e8a49464d,True,
dcrnn,mnar,r005,test_r004,official_londonaq_st_benchmark:mnar:30,3,47.939081,57.465797,sha256:1691d10769e12e8c48659d0a20c0fa0d8776aa38ccac0352c22d9b8373a26443,sha256:8b70c77bc967f4ff9c54f2c47eee2e8bd06f48f4c7148842c904319340015dd0,True,
dcrnn,node_holdout,r001,test_r000,official_londonaq_st_benchmark:node_holdout:30,3,29.019300,38.899447,sha256:1691d10769e12e8c48659d0a20c0fa0d8776aa38ccac0352c22d9b8373a26443,sha256:1d86a6b55be5fefdfb65b1df75024e37c930056dfc705be04a98f105de72214e,True,
dcrnn,node_holdout,r002,test_r001,official_londonaq_st_benchmark:node_holdout:30,3,29.994024,39.481187,sha256:1691d10769e12e8c48659d0a20c0fa0d8776aa38ccac0352c22d9b8373a26443,sha256:ebfc9cb8e4d97d540c60815b37737df17695204d85a6e92d329b7854cd0cdeb5,True,
